timestamp,ID,race_ethnicity,database_language,survey_language,survey_completed_for_artist,What is your race/ethnicity?,Is English your primary language (or one of your primary languages?),How comfortable are you reading English?,How comfortable are you writing English?,Do you use a language other than English?,Is your primary language ASL/sign language (or one of your primary languages)?,Do you live with anyone that uses ASL?,Do you live with anyone that is D/deaf or hard of hearing?,Do you live with anyone that is hearing?,What is your primary language?,Do you live with anyone speaks this language?,Do you live with anyone that speaks English?,Which device do you most regularly use for emails and Zoom?,"Please list any other devices, apps, or software that you regularly use to access and use technology.",How comfortable are you using email?,How comfortable are you using Zoom?,Does anyone regularly help you use email and/or Zoom?,Do you have a helper?,helper_type,Does this person live with you?,What language(s) do they feel most comfortable using?,How comfortable are they reading English?,How comfortable are they writing English?,How comfortable are they using email?,How comfortable are they using Zoom?
1/25/2022 15:24:45,1069,White,English,English,1,White,Yes,1,1,No,,,,,,,,Ipad,Iphone,1,2,Yes,Yes,Family,No,English,5,5,5,5
2/11/2022 21:42:00,1071,Latino,English,English,1,Mexican American,Yes,5,5,No,,,,,,,,phone,,2,1,Yes,Yes,Family,Yes,English,5,5,2,1
2/23/2022 16:27:08,1072,White,English,English,1,White,Yes,4,5,No,,,,,,,,tablet,Phone,3,2,Yes,Yes,Non-CG staff,No,English,5,5,5,5
3/23/2022 10:12:25,1073,White,ASL,English,1,Na,No,2,1,Yes,Yes,Yes,Yes,No,,,,other,,1,1,Yes,Yes,Other,Yes,Asl,5,3,5,5
2/4/2022 11:23:26,1074,Latino,Spanish,Spanish,1,mexicana,No,3,3,Yes,No,,,,espanol,No,Yes,Computadora / laptop,celular,4,1,Yes,Yes,CG staff,No,English,5,5,5,5
2/10/2022 13:26:43,1075,Filipino,English,English,0,Philipino,Yes,5,5,Yes,No,,,,English & Tagalog,No,Yes,phone,Laptop,5,5,No,No,,,,,,,
2/2/2022 8:03:04,1077,White,English,English,1,White,Yes,2,2,No,,,,,,,,computer,"Phone, tablet",2,4,Yes,Yes,Family,Yes,English,5,5,5,5
1/25/2022 14:21:00,1079,Black,English,English,0,African American,Yes,5,5,No,,,,,,,,computer,Consumer Cellular Grandpad,1,1,Yes,Yes,Family,Yes,English,5,5,5,5
1/25/2022 17:16:58,1081,White,English,English,1,White/Non-Hispanic (2); White/Hispanic (1),Yes,2,1,Yes,No,,,,English (3); Spanish/Secondary Language (1),Yes,Yes,tablet,,1,4,Yes,Yes,Non-CG staff,No,English,5,5,5,5
2/16/2022 14:25:43,1082,Latino,Spanish,Spanish,1,latina,Yes,2,2,Yes,No,,,,el espanish,Yes,parents speak a little english,tableta,,5,4,No,No,,,,,,,
2/16/2022 17:04:37,1083,White,N/A,English,1,"Litvak/Swedish, identifies as Ashkenazi eastern European Jewish",Yes,5,5,No,,,,,,,,computer,n/a,5,5,No,No,,,,,,,
3/25/2022 10:36:00,1085,White,English,English,1,na,Yes,5,5,No,,,,,,,,other,"laptop, brailler,",1,4,Yes,Yes,Non-CG staff,No,english,5,5,5,5
